18,"
[新聞] 敲進5,309張…台積電出現神奇尾盤
",Paul1021, 5/21
15,"
[新聞] 台股當沖比破5成續創新高 長榮爆55萬張
",horseorange, 5/21
47,"
[新聞] 拜登宣布疫苗共享 莫德納證實已行動、輝
",CavendishJr, 5/21
23,"
Re: [心得] 比特幣的價值
",yniori, 5/21
39,"
[標的] 第一銅  不要怕嘎空
",Deltaguita, 5/21
5,"
Re: [標的] 2642.TW 宅配通 疫情停課隔離多
",angrd, 5/21
16,"
[新聞] 台股不斷更新｜電子金融航運齊點火　指
",CTC0115, 5/21
23,"
[新聞] 銅未來十年供給缺口達市場40%！高盛：採
",qwa317, 5/21
9,"
Re: [新聞] 台股當沖比破5成續創新高 長榮爆55萬
",CGDGAD, 5/21
,"
Re: [標的] 大盤 開超低盤多
",scottmay, 5/21
53,"
[請益] 當沖有缺點嗎
",Pittsburgh, 5/21
13,"
[請益] 最近大盤都會突然抖一下
",idol5566, 5/21
24,"
[新聞] 馬斯克再放利多？推文一出狗狗幣大漲26%
",NoAfraid, 5/21
14,"
Re: [心得] 比特幣的價值
",yisky, 5/21
6,"
[新聞] 歐洲議會通過凍結歐中投資協定 中：協定
",mOoOm, 5/21
,"
Re: [請益] 今天面板可以加碼了嗎？
",priesta, 5/21
100,"
[閒聊] 2021/05/21 盤中閒聊
",vendan5566, 5/21
38,"
Re: [心得] 比特幣的價值
",cherrywo, 5/21
34,"
			
				(本文已被刪除) [PURE100]
			
			",-, 5/21
23,"
[新聞] 尋找航海王！陽明攜手海洋大學開學士後專
",deepdish, 5/21
33,"
Re: [新聞] 運費天價沒頂 貨櫃美加線又漲1,200美元
",t9300092, 5/21
3,"
Re: [心得] 比特幣的價值
",a5413eric, 5/21
56,"
[標的] 2615.TW 萬海 當沖勝率高吧
",zakijudelo, 5/21
100,"
[閒聊] 2021/05/21 盤中閒聊
",vendan5566, 5/21
,"
			
				(本文已被刪除) [laptic]
			
			",-, 5/21
1,"
Re: [心得] 比特幣的價值
",albert780510, 5/21
1,"
Re: [新聞]幣圈一天人間十年！比特幣24小時暴漲近40%
",grotwpig645, 5/21
28,"
[新聞] 加密幣轉帳逾1萬美元須申報！拜登要透明
",CavendishJr, 5/21
2,"
Re: [新聞]幣圈一天人間十年！比特幣24小時暴漲近40%
",assassinzero, 5/21
2,"
Re: [請益] 當沖量佔比70%真的有人是長期看好想投資
",ctx705f, 5/21
9,"
Re: [心得] 比特幣的價值
",alaskaman, 5/21
6,"
Re: [心得] 比特幣的價值
",Severine, 5/21
2,"
Re: [請益] 所以當沖對股市的幫助到底在哪？
",j2708180, 5/21
,"
			
				(本文已被刪除) [panson]
			
			",-, 5/21
X1,"
[請益] 股版的一個不解之謎
",panson, 5/21
2,"
[新聞] 陸黑色系商品重挫 中鋼：國際鋼價未降
",CTC0115, 5/21
21,"
Re: [心得] 比特幣的價值
",dodobaho, 5/21
7,"
Re: [新聞]巴菲特股東會｜查理蒙格：比特幣的發展「
",kids50123, 5/21
27,"
[請益] 當沖量佔比70%真的有人是長期看好想投資
",mistel, 5/21
18,"
Re: [請益] 當沖量佔比70%真的有人是長期看好想投資
",icehorng, 5/21
34,"
[新聞] 歐美鋼鋁關稅休戰 批中扭曲貿易
",Catslike, 5/21
5,"
Re: [請益] 要是四級會崩還是已反應
",uwmtsa, 5/21
60,"
Re: [新聞]幣圈一天人間十年！比特幣24小時暴漲近40%
",ilqgray, 5/21
55,"
[新聞] 運費天價沒頂 貨櫃美加線又漲1,200美元
",justin531xx, 5/21
,"
Re: [請益] 詢問未上市-富利康科技股價
",tyuj, 5/21
15,"
[心得] 融資減少？
",hong1126, 5/21
7,"
Re: [新聞]巴菲特股東會｜查理蒙格：比特幣的發展「
",promised987, 5/21
,"
Re: [標的] 大盤  跌深反彈  近日抄底多
",wz02022, 5/21
30,"
[心得] 比特幣的價值
",wz02022, 5/21
